Отметка времени,Расход,Доход,Комментарии,Ресурсы,Группы,Адрес электронной почты,,,
21.11.2016 8:36:21,350,,Дашины обеды,Сбербанк Маша,Обед,,,,
21.11.2016 8:36:48,1000,,,Сбербанк Маша,На отпуск,,,,
22.11.2016 9:35:53,250,,,НАЛ,Обед,,,,
22.11.2016 9:45:50,887,,,ВТБ,Продукты,,,,
22.11.2016 9:46:09,4123,,Зубы,Сбербанк Маша,Медицина,,,,
22.11.2016 22:48:20,100,,,НАЛ,Транспорт,,,,
23.11.2016 2:22:31,358,,,ВТБ,Обед,,,,
23.11.2016 2:22:53,1000,,Подарок Кате,ВТБ,Подарки,,,,
23.11.2016 2:23:10,167,,,НАЛ,Продукты,,,,
23.11.2016 8:36:40,250,,,НАЛ,Обед,,,,
23.11.2016 8:37:52,409,,плавательные принадлежности,Сбербанк зарплата,Развлечения,,,,
23.11.2016 8:38:09,3000,,,Сбербанк зарплата,МинусКарта,,,,
23.11.2016 8:38:25,,3000,,НАЛ,ПлюсНалик,,,,
23.11.2016 8:44:25,436,,Фрукты,ВТБ,Продукты,,,,
23.11.2016 8:44:40,160,,колбаса,НАЛ,Продукты,,,,
23.11.2016 8:44:56,180,,,НАЛ,Продукты,,,,
23.11.2016 22:44:09,600,,,НАЛ,Дашины занятия,,,,
23.11.2016 22:45:56,520,,Бассейн,НАЛ,Развлечения,,,,
23.11.2016 22:46:53,1090,,Бензин,Сбербанк зарплата,Авто,,,,
23.11.2016 23:27:15,200,,,НАЛ,Транспорт,,,,
24.11.2016 4:44:55,340,,,НАЛ,Обед,,,,
24.11.2016 4:45:24,252,,,ВТБ,Медицина,,,,
24.11.2016 6:56:43,2000,,,Сбербанк зарплата,МинусКарта,,,,
24.11.2016 6:56:56,,2000,,Сбербанк Маша,ПлюсКарта,,,,
24.11.2016 10:52:05,400,,заточка нолжей,НАЛ,"Бытовая техника, мебель",,,,
24.11.2016 10:52:39,168,,овощи,Сбербанк Маша,Продукты,,,,
24.11.2016 10:52:56,294,,,ВТБ,Парфюмерия & косметика,,,,
24.11.2016 10:54:05,219,,,"НАЛ, Сбербанк Маша",Продукты,,,,
24.11.2016 10:55:04,619,,,Сбербанк кредит,Продукты,,,,
24.11.2016 10:57:35,230,,книжки,Сбербанк Маша,Развлечения,,,,
24.11.2016 10:58:24,200,,обед Даши,Сбербанк Маша,Обед,,,,
24.11.2016 11:00:23,200,,,НАЛ,Продукты,,,,
24.11.2016 11:01:47,250,,,НАЛ,Обед,,,,
24.11.2016 11:03:03,,26215,,ВТБ,ВТБ,,,,
25.11.2016 5:12:40,200,,ДР коллеги,НАЛ,Подарки,,,,
25.11.2016 5:12:56,100,,Каша,НАЛ,Обед,,,,
25.11.2016 6:24:02,250,,,НАЛ,Обед,,,,
25.11.2016 6:24:18,6000,,,Сбербанк зарплата,МинусКарта,,,,
25.11.2016 6:24:37,,6000,,НАЛ,ПлюсНалик,,,,
25.11.2016 6:24:52,26000,,,ВТБ,МинусКарта,,,,
25.11.2016 6:25:07,,26000,,НАЛ,ПлюсНалик,,,,
25.11.2016 6:25:20,31000,,,НАЛ,Авто,,,,
26.11.2016 3:06:41,200,,,НАЛ,Парфюмерия & косметика,,,,
26.11.2016 3:07:06,3200,,,Сбербанк кредит,Продукты,,,,
26.11.2016 11:04:36,1000,,предоплата банкета,Сбербанк кредит,Подарки,,,,
26.11.2016 11:29:28,3200,,,НАЛ,Парикмахерская,,,,
26.11.2016 11:30:17,100,,,НАЛ,Продукты,,,,
27.11.2016 3:32:49,1300,,,Сбербанк Маша,МинусКарта,,,,
27.11.2016 3:33:20,,1300,,НАЛ,ПлюсНалик,,,,
27.11.2016 3:34:08,394,,,НАЛ,Продукты,,,,
27.11.2016 3:34:42,259,,Книга,НАЛ,Развлечения,,,,
27.11.2016 8:50:14,5000,,,Сбербанк кредит,Медицина,,,,
27.11.2016 8:51:27,-5000,,обратно из отпуска,Сбербанк Маша,На отпуск,,,,
27.11.2016 8:53:11,4500,,,Сбербанк Маша,МинусКарта,,,,
27.11.2016 8:53:34,,4500,,НАЛ,ПлюсНалик,,,,
27.11.2016 8:54:11,1500,,,НАЛ,Дашины занятия,,,,
27.11.2016 9:01:40,1000,,,НАЛ,МинусНалик,,,,
27.11.2016 9:01:54,,1000,,Сбербанк Маша,ПлюсКарта,,,,
27.11.2016 9:03:27,150,,Даше на конюшю,НАЛ,Продукты,,,,
27.11.2016 22:47:42,840,,цветы,Сбербанк кредит,Подарки,,,,
27.11.2016 22:58:45,200,,,Сбербанк зарплата,Мобильная связь,,,,
28.11.2016 4:07:31,135,,,НАЛ,Продукты,,,,
28.11.2016 5:29:24,200,,ДР коллеги,НАЛ,Подарки,,,,
28.11.2016 7:50:21,228,,Канцтовары ,ВТБ,Дашины занятия,,,,
28.11.2016 7:50:51,115,,,ВТБ,Продукты,,,,
28.11.2016 9:15:05,200,,,НАЛ,Транспорт,,,,
28.11.2016 9:15:18,250,,,НАЛ,Обед,,,,
29.11.2016 4:41:51,200,,Даша,Сбербанк Маша,Обед,,,,
29.11.2016 4:42:25,250,,Маша,Сбербанк Маша,Обед,,,,
29.11.2016 7:35:37,,3356,50 евро,НАЛ,Прочие доходы,,,,
29.11.2016 7:36:36,254,,Сыр и сметана ,НАЛ,Продукты,,,,
29.11.2016 7:37:03,80,,Хлеб и мороженое,НАЛ,Продукты,,,,
29.11.2016 7:37:37,60,,Линейка для выкроек,НАЛ,Дашины занятия,,,,
30.11.2016 2:41:34,1000,,тест нового браузера,Сбербанк зарплата,МинусКарта,,,,
30.11.2016 2:41:57,,1000,,НАЛ,ПлюсНалик,,,,
30.11.2016 3:34:43,104,,Завтрак,НАЛ,Обед,,,,
30.11.2016 3:42:38,250,,,НАЛ,Обед,,,,
30.11.2016 7:50:54,470,,Фрукты,НАЛ,Продукты,,,,
30.11.2016 7:51:18,200,,,НАЛ,Продукты,,,,
30.11.2016 7:51:51,250,,Даша,НАЛ,Одежда,,,,
30.11.2016 8:08:22,1000,,,НАЛ,Дашины занятия,,,,
01.12.2016 1:04:26,60,,,НАЛ,Обед,,,,
01.12.2016 6:10:34,150,,,Сбербанк Маша,Мобильная связь,,,,
01.12.2016 8:15:34,208,,,НАЛ,Продукты,,,,
01.12.2016 8:16:01,2000,,,Сбербанк зарплата,МинусКарта,,,,
01.12.2016 8:16:21,,2000,,НАЛ,ПлюсНалик,,,,
01.12.2016 8:16:45,250,,,НАЛ,Обед,,,,
01.12.2016 8:17:04,200,,,НАЛ,Транспорт,,,,
01.12.2016 8:18:12,600,,,НАЛ,Дашины занятия,,,,
01.12.2016 8:18:40,220,,,НАЛ,Развлечения,,,,
01.12.2016 8:27:44,200,,обед корр,НАЛ,Обед,,,,
02.12.2016 3:42:13,100,,,НАЛ,Продукты,,,,
02.12.2016 5:42:16,250,,,НАЛ,Обед,,,,
03.12.2016 1:12:59,1550,,,НАЛ,Дашины занятия,,,,
03.12.2016 8:28:29,2128,,,Сбербанк кредит,Продукты,,,,
03.12.2016 8:43:51,300,,,Сбербанк Маша,Мобильная связь,,,,
05.12.2016 3:31:00,262,,,Сбербанк Маша,Обед,,,,
05.12.2016 9:32:55,130,,,Сбербанк кредит,Обед,,,,
05.12.2016 9:33:18,250,,,НАЛ,Обед,,,,
05.12.2016 22:54:13,100,,,ВТБ,МинусКарта,,,,
05.12.2016 22:54:24,,100,,НАЛ,ПлюсНалик,,,,
05.12.2016 22:54:44,40,,Каша,НАЛ,Обед,,,,
05.12.2016 22:54:56,120,,Даша,НАЛ,Обед,,,,
06.12.2016 2:29:52,,24400,,Сбербанк зарплата,Сбербанк зарплата,,,,
06.12.2016 2:30:14,15000,,,Сбербанк зарплата,МинусКарта,,,,
06.12.2016 2:30:35,,15000,,Сбербанк Маша,ПлюсКарта,,,,
06.12.2016 2:30:46,250,,,НАЛ,Обед,,,,
06.12.2016 2:31:05,1000,,,Сбербанк зарплата,МинусКарта,,,,
06.12.2016 2:31:27,,1000,,НАЛ,ПлюсНалик,,,,
06.12.2016 2:36:09,200,,,Сбербанк зарплата,МинусКарта,,,,
06.12.2016 2:36:20,,200,,НАЛ,ПлюсНалик,,,,
06.12.2016 2:44:16,1000,,,Сбербанк Маша,Дашины занятия,,,,
06.12.2016 2:44:28,132,,,Сбербанк Маша,Продукты,,,,
06.12.2016 2:44:40,1000,,,Сбербанк Маша,На отпуск,,,,
06.12.2016 2:48:43,52,,Корректировка,Сбербанк Маша,CORR,,,,
06.12.2016 3:20:21,,0,"Привет, Мусик! Действуй внимательно!",Сбербанк кредит,CORR,,,,
06.12.2016 8:54:59,574,,,Сбербанк зарплата,Продукты,,,,
06.12.2016 9:09:30,2000,,,Сбербанк Маша,МинусКарта,,,,
06.12.2016 9:09:49,,2000,,НАЛ,ПлюсНалик,,,,
06.12.2016 9:11:40,453,,,НАЛ,Продукты,,,,
06.12.2016 9:12:11,822,,,Сбербанк Маша,Продукты,,,,
06.12.2016 9:19:14,100,,,НАЛ,Транспорт,,,,
06.12.2016 21:41:58,1570,,карточка на метро,Сбербанк зарплата,Транспорт,,,,
07.12.2016 2:47:56,250,,,НАЛ,Обед,,,,
07.12.2016 8:30:53,2000,,,Сбербанк Маша,МинусКарта,,,,
07.12.2016 8:31:13,,2000,,НАЛ,ПлюсНалик,,,,
07.12.2016 8:31:48,220,,,Сбербанк Маша,Парфюмерия & косметика,,,,
07.12.2016 8:32:29,80,,,НАЛ,Медицина,,,,
07.12.2016 8:33:30,227,,,НАЛ,Продукты,,,,
07.12.2016 8:33:56,1000,,,НАЛ,Дашины занятия,,,,
07.12.2016 8:35:31,1480,,НГ,НАЛ,Подарки,,,,
08.12.2016 5:27:11,250,,,НАЛ,Обед,,,,
08.12.2016 5:27:45,66,,2жвачки,НАЛ,Продукты,,,,
08.12.2016 10:31:19,798,,,Сбербанк зарплата,Продукты,,,,
08.12.2016 10:31:39,2000,,,Сбербанк зарплата,МинусКарта,,,,
08.12.2016 10:31:58,,2000,,НАЛ,ПлюсНалик,,,,
08.12.2016 10:32:43,440,,бассейн,НАЛ,Развлечения,,,,
08.12.2016 10:33:14,600,,,НАЛ,Дашины занятия,,,,
09.12.2016 0:20:22,200,,Даша,Сбербанк Маша,Обед,,,,
09.12.2016 0:26:13,32,,Пирожок,НАЛ,Продукты,,,,
09.12.2016 1:11:50,3000,,Театр,Сбербанк Маша,Развлечения,,,,
09.12.2016 4:52:51,250,,,НАЛ,Обед,,,,
09.12.2016 6:07:20,,32040,,ВТБ,ВТБ,,,,
09.12.2016 6:09:37,400,,Маша,НАЛ,Обед,,,,
09.12.2016 7:07:02,250,,Даша,Сбербанк Маша,Одежда,,,,
09.12.2016 7:07:30,100,,Канцтовары,Сбербанк Маша,Дашины занятия,,,,
09.12.2016 7:11:10,1000,,,Сбербанк Маша,На отпуск,,,,
09.12.2016 7:14:32,70,,Даша,Сбербанк Маша,Обед,,,,
09.12.2016 9:14:28,442,,,Сбербанк Маша,Продукты,,,,
09.12.2016 23:50:11,2600,,МГТС,Сбербанк Маша,Коммунальные расходы,,,,
10.12.2016 1:41:02,19723,,Зубы,ВТБ,Медицина,,,,
10.12.2016 3:40:25,386,,,ВТБ,Парфюмерия & косметика,,,,
10.12.2016 3:40:49,3182,,,ВТБ,Продукты,,,,
10.12.2016 20:55:50,374,,тортик на конюшню,НАЛ,Дашины занятия,,,,
10.12.2016 20:56:09,1500,,,НАЛ,Дашины занятия,,,,
10.12.2016 20:56:36,2500,,,Сбербанк зарплата,МинусКарта,,,,
10.12.2016 20:56:57,,2500,,НАЛ,ПлюсНалик,,,,
10.12.2016 20:57:38,1000,,бензин,НАЛ,Авто,,,,
10.12.2016 20:58:04,94,,ик приемник,НАЛ,Развлечения,,,,
11.12.2016 1:02:09,200,,,ВТБ,ВТБ,,,,
11.12.2016 1:03:25,100,,,НАЛ,Продукты,,,,
11.12.2016 3:08:17,440,,,НАЛ,Развлечения,,,,
11.12.2016 3:09:16,2500,,,ВТБ,МинусКарта,,,,
11.12.2016 3:10:09,,2500,,НАЛ,ПлюсНалик,,,,
11.12.2016 3:11:14,250,,,НАЛ,Продукты,,,,
11.12.2016 3:11:53,850,,,ВТБ,Подарки,,,,
12.12.2016 2:39:17,192,,,ВТБ,Продукты,,,,
12.12.2016 3:11:08,250,,,НАЛ,Обед,,,,
12.12.2016 9:04:55,207,,,ВТБ,Парфюмерия & косметика,,,,
12.12.2016 9:05:31,425,,,ВТБ,Продукты,,,,
12.12.2016 9:05:53,1000,,,НАЛ,Дашины занятия,,,,
